1,1,2,0,5
2,3,4,1,5
3,5,6,1,5
4,7,8,0,5
5,9,10,0,5
6,11,12,0,5
7,13,14,0,5
8,15,16,0,5
9,17,18,0,5
10,19,20,0,5
11,21,22,0,5
12,23,24,2,5
13,25,26,0,5
14,27,28,1,5
15,29,30,2,5
16,31,32,3,5
17,33,34,4,5
18,35,36,5,5
19,37,38,0,5
20,39,40,2,5
21,41,42,2,5
22,43,44,0,5
23,45,46,0,5
24,47,48,0,6
25,49,50,3,5
26,51,52,4,6
27,53,54,0,5
28,55,56,0,5
29,57,58,0,5
30,59,60,0,5
31,61,62,0,5
32,63,64,0,5
33,65,66,0,5
34,67,68,0,5
35,69,70,0,5
36,71,72,0,5
37,73,74,0,5
38,75,76,5,5
39,77,78,1,5
40,79,80,1,5
41,81,82,1,5
42,83,84,1,5
43,85,86,1,5
44,87,88,1,5
45,89,90,1,5
46,91,92,1,5
47,93,94,1,4
48,95,96,1,5
49,97,98,1,5
50,99,100,0,5
51,101,102,0,5
52,103,104,0,5
53,105,106,0,5
54,107,108,0,5
55,109,110,0,5
56,111,112,0,5
57,113,114,0,5
58,115,116,0,5
59,117,118,0,5
60,119,120,0,5
61,121,122,0,5
62,123,124,1,5
63,125,126,1,5
64,127,128,1,5
65,129,130,1,5
66,131,132,1,5
67,133,134,1,5
68,135,136,1,5
69,137,138,1,5
70,139,140,1,5
71,141,142,1,5
72,143,144,1,5
73,145,146,1,5
74,147,148,1,5
75,149,150,1,5
76,151,152,1,5
77,153,154,1,5
78,155,156,1,5
79,157,158,1,5
80,159,160,1,5
81,161,162,1,5
82,163,164,1,5
83,165,166,1,5
84,167,168,1,5
85,169,170,1,5
86,171,172,1,5
87,173,174,1,5
88,175,176,1,5
89,177,178,1,5
90,179,180,1,5
91,181,182,1,5
92,183,184,1,5
93,185,186,1,5
94,187,188,1,5
95,189,190,1,5
96,191,192,1,5
97,193,194,1,5
98,195,196,1,5
99,197,198,1,5
100,199,200,1,5
